Frame Index ,Area (microns^2) ,Centroid X (microns) ,Centroid Y (microns) ,Width (microns) ,Height (microns) ,Aspect Ratio ,Solidity
         48 ,      76755000.0 ,                 680 ,                 560 ,            550 ,             730 ,      0.7534 ,  0.9845
         49 ,      55870500.0 ,                 630 ,                1230 ,            450 ,             610 ,      0.7377 ,  0.9849
         50 ,      68059500.0 ,                 630 ,                1270 ,            510 ,             720 ,      0.7083 ,  0.9797
         54 ,      65305500.0 ,                 600 ,                 400 ,            520 ,             610 ,      0.8525 ,  0.9837
         55 ,      75760500.0 ,                 640 ,                1090 ,            490 ,             770 ,      0.6364 ,  0.987
         56 ,      74485500.0 ,                 630 ,                1060 ,            420 ,             880 ,      0.4773 ,  0.9782
         57 ,      52530000.0 ,                 620 ,                1040 ,            410 ,             650 ,      0.6308 ,  0.9805
         58 ,      49546500.0 ,                 620 ,                1560 ,            440 ,             580 ,      0.7586 ,  0.9801
         59 ,      89785500.0 ,                 620 ,                1490 ,            540 ,             850 ,      0.6353 ,  0.9819
         60 ,      67294500.0 ,                 620 ,                1930 ,            460 ,             710 ,      0.6479 ,  0.9851
         61 ,      65254500.0 ,                 600 ,                 350 ,            460 ,             690 ,      0.6667 ,  0.9835
         62 ,      80299500.0 ,                 660 ,                1640 ,            510 ,             760 ,      0.6711 ,  0.9901
         63 ,      62653500.0 ,                 610 ,                1050 ,            470 ,             690 ,      0.6812 ,  0.9814
         64 ,      48679500.0 ,                 620 ,                1260 ,            420 ,             580 ,      0.7241 ,  0.9842
         65 ,      57936000.0 ,                 630 ,                1080 ,            460 ,             660 ,      0.697  ,  0.9808
         66 ,      71553000.0 ,                 670 ,                1030 ,            490 ,             760 ,      0.6447 ,  0.9805
         67 ,      50949000.0 ,                 660 ,                2310 ,            460 ,             600 ,      0.7667 ,  0.9763
         68 ,      77214000.0 ,                 650 ,                 870 ,            490 ,             910 ,      0.5385 ,  0.9726
         69 ,      70125000.0 ,                 650 ,                1810 ,            460 ,             730 ,      0.6301 ,  0.9876
         70 ,      56788500.0 ,                 620 ,                 270 ,            450 ,             580 ,      0.7759 ,  0.9797
         71 ,      63775500.0 ,                 630 ,                1610 ,            490 ,             680 ,      0.7206 ,  0.979
         72 ,      45262500.0 ,                 630 ,                1420 ,            400 ,             600 ,      0.6667 ,  0.9779
         73 ,     104652000.0 ,                 620 ,                1450 ,            650 ,             820 ,      0.7927 ,  0.987
         74 ,      48348000.0 ,                 600 ,                 160 ,            610 ,             390 ,      1.5641 ,  0.9862
         75 ,      86317500.0 ,                 640 ,                1560 ,            470 ,             950 ,      0.4947 ,  0.9778
         76 ,      64974000.0 ,                 660 ,                1610 ,            500 ,             690 ,      0.7246 ,  0.9821
         77 ,      35266500.0 ,                 640 ,                 150 ,            500 ,             350 ,      1.4286 ,  0.977
         78 ,      36490500.0 ,                 670 ,                2390 ,            500 ,             380 ,      1.3158 ,  0.9866
         79 ,      79509000.0 ,                 650 ,                1020 ,            560 ,             770 ,      0.7273 ,  0.9844
         80 ,      59721000.0 ,                 670 ,                2080 ,            450 ,             660 ,      0.6818 ,  0.985
         81 ,      58701000.0 ,                 650 ,                 460 ,            470 ,             630 ,      0.746  ,  0.9806
         82 ,      77239500.0 ,                 700 ,                1630 ,            520 ,             780 ,      0.6667 ,  0.9819
         83 ,      68391000.0 ,                 640 ,                1470 ,            510 ,             680 ,      0.75   ,  0.9861
